model,function,offset,city,mean_absolute_error,mean_squared_error,time
MLPRegressor,mean,1,Acapulco de Juárez,0.1887913567592987,0.05261051746362861,674149621.0
MLPRegressor,mean,1,Benito Juárez,0.1183956293195177,0.025510893363951882,682534075.0
MLPRegressor,mean,1,Centro,0.2113355171455063,0.06491726649272019,654814295.0
MLPRegressor,mean,1,Chihuahua,0.12847982258090512,0.026260527724397097,777241468.0
MLPRegressor,mean,1,Cuauhtémoc,0.18984540367086636,0.05359320156803163,723172698.0
MLPRegressor,mean,1,Culiacán,0.2260017375215618,0.0744773974102354,787944679.0
MLPRegressor,mean,1,Ecatepec de Morelos,0.12352256654064868,0.025180881455274154,769644202.0
MLPRegressor,mean,1,Guadalajara,0.1855891501893672,0.04777507766361352,783084718.0
MLPRegressor,mean,1,Irapuato,0.13449876008891323,0.02830058804136536,702526955.0
MLPRegressor,mean,1,Iztapalapa,0.1837995854156568,0.06432458955129754,693155540.0
MLPRegressor,mean,1,Juárez,0.16104439685943706,0.037670247896018964,776660180.0
MLPRegressor,mean,1,León,0.08237963789848665,0.011548248210927162,716784195.0
MLPRegressor,mean,1,Morelia,0.21360194130200735,0.06081136555521811,656012393.0
MLPRegressor,mean,1,Reynosa,0.11261508367189305,0.018601955228609433,841280845.0
MLPRegressor,mean,1,Tijuana,0.11665636763687451,0.018805645561765356,741392938.0
MLPRegressor,mean,2,Acapulco de Juárez,0.2216297547185011,0.07820557937048925,830834565.0
MLPRegressor,mean,2,Benito Juárez,0.1749107262183355,0.05115835661120028,746604367.0
MLPRegressor,mean,2,Centro,0.2914886445939098,0.12163510075686977,688558999.0
MLPRegressor,mean,2,Chihuahua,0.13678866843152718,0.038110655574995135,761321298.0
MLPRegressor,mean,2,Cuauhtémoc,0.2182102743514562,0.08449825879996276,768401637.0
MLPRegressor,mean,2,Culiacán,0.26489116653767825,0.09399225242519138,941851923.0
MLPRegressor,mean,2,Ecatepec de Morelos,0.11210730594659678,0.021089208267284023,753938049.0
MLPRegressor,mean,2,Guadalajara,0.25687968797210636,0.0984564196349282,604238262.0
MLPRegressor,mean,2,Irapuato,0.1813261999204778,0.049101138440211065,953464127.0
MLPRegressor,mean,2,Iztapalapa,0.19210140091803488,0.07581651115121761,661366664.0
MLPRegressor,mean,2,Juárez,0.1587139072884479,0.0339489483917337,1319324913.0
MLPRegressor,mean,2,León,0.07996556943141372,0.013557945428477599,1235914469.0
MLPRegressor,mean,2,Morelia,0.2804052525146473,0.10725189539993749,825253253.0
MLPRegressor,mean,2,Reynosa,0.19494376240504455,0.05195274822648318,778081771.0
MLPRegressor,mean,2,Tijuana,0.16694276891851234,0.037868094940402636,826843875.0
MLPRegressor,mean,3,Acapulco de Juárez,0.19392180751849408,0.05795796015163906,1034808272.0
MLPRegressor,mean,3,Benito Juárez,0.18913473091213293,0.052219691537776246,764805757.0
MLPRegressor,mean,3,Centro,0.27970233014861606,0.10578981372509788,736652099.0
MLPRegressor,mean,3,Chihuahua,0.11915786052881654,0.028182429942058575,1969337964.0
MLPRegressor,mean,3,Cuauhtémoc,0.23913718780994891,0.08677301127291845,789881018.0
MLPRegressor,mean,3,Culiacán,0.2283334851973863,0.06658086802277889,1504096049.0
MLPRegressor,mean,3,Ecatepec de Morelos,0.11051257622591243,0.024165575051026195,1594983018.0
MLPRegressor,mean,3,Guadalajara,0.20128208457280694,0.052984471477572084,1774613179.0
MLPRegressor,mean,3,Irapuato,0.24251937907396862,0.08819652846889225,595392375.0
MLPRegressor,mean,3,Iztapalapa,0.1813133291631551,0.06711480069968095,1730878699.0
MLPRegressor,mean,3,Juárez,0.17846041018650763,0.04335787061052496,1803675412.0
MLPRegressor,mean,3,León,0.10918091499623331,0.017338478630200133,1231287218.0
MLPRegressor,mean,3,Morelia,0.2206654519086955,0.060552423174620736,1173114096.0
MLPRegressor,mean,3,Reynosa,0.10037108957383467,0.013606406184603424,1473918854.0
MLPRegressor,mean,3,Tijuana,0.129623863956785,0.022938790390429366,1728353570.0
MLPRegressor,mean,4,Acapulco de Juárez,0.17170153921525663,0.04926867967109591,1864297971.0
MLPRegressor,mean,4,Benito Juárez,0.12341266102784033,0.020683434797821067,1869130252.0
MLPRegressor,mean,4,Centro,0.19170140862599877,0.055711032037909856,1824739995.0
MLPRegressor,mean,4,Chihuahua,0.12289777866213213,0.02684483553555797,1938390511.0
MLPRegressor,mean,4,Cuauhtémoc,0.16950844593148764,0.04794827859883352,1809276950.0
MLPRegressor,mean,4,Culiacán,0.21805659236470024,0.06500796349464817,1873967232.0
MLPRegressor,mean,4,Ecatepec de Morelos,0.11212244480023946,0.020409361007192987,1996701650.0
MLPRegressor,mean,4,Guadalajara,0.2026228728224495,0.05313202108235712,2049610532.0
MLPRegressor,mean,4,Irapuato,0.13363978887425348,0.02811343856294633,1957727706.0
MLPRegressor,mean,4,Iztapalapa,0.20108946317799126,0.05978024319325259,1802089006.0
MLPRegressor,mean,4,Juárez,0.12925068031313813,0.024785420714119325,1823722475.0
MLPRegressor,mean,4,León,0.1014969309025609,0.015888116417187487,1795338165.0
MLPRegressor,mean,4,Morelia,0.18659836923298317,0.04377905186798897,1905563336.0
MLPRegressor,mean,4,Reynosa,0.09895924050759151,0.013480677423979162,1954677161.0
MLPRegressor,mean,4,Tijuana,0.11886400528761541,0.023012739620618103,1771229678.0
MLPRegressor,mean,5,Acapulco de Juárez,0.1525620121418198,0.03840994103386989,2207643552.0
MLPRegressor,mean,5,Benito Juárez,0.09483362851177839,0.015929782511199243,2184810363.0
MLPRegressor,mean,5,Centro,0.1819569575769804,0.05576320131685181,2420315593.0
MLPRegressor,mean,5,Chihuahua,0.12885076690818473,0.025028578292487867,2175613453.0
MLPRegressor,mean,5,Cuauhtémoc,0.19451087144692839,0.05431057188215204,2047459356.0
MLPRegressor,mean,5,Culiacán,0.2426743445159787,0.07442602518216637,2082824725.0
MLPRegressor,mean,5,Ecatepec de Morelos,0.09566227699190913,0.014466260046166891,2101981045.0
MLPRegressor,mean,5,Guadalajara,0.170254102015902,0.037197117345318775,2162949035.0
MLPRegressor,mean,5,Irapuato,0.14120118804091578,0.026481317354017084,2127848983.0
MLPRegressor,mean,5,Iztapalapa,0.1756038991805245,0.05255016665637487,1912471130.0
MLPRegressor,mean,5,Juárez,0.14931952129133005,0.030006737578979214,1938872644.0
MLPRegressor,mean,5,León,0.08515500962096703,0.012369604057617022,2040169594.0
MLPRegressor,mean,5,Morelia,0.19713263676904696,0.04865457959032515,2290597549.0
MLPRegressor,mean,5,Reynosa,0.1561521627737908,0.04150757385566337,1935627495.0
MLPRegressor,mean,5,Tijuana,0.10878124610393776,0.020590443138108518,2159554682.0
MLPRegressor,mean,6,Acapulco de Juárez,0.13198255067491746,0.029163824718684554,2483876294.0
MLPRegressor,mean,6,Benito Juárez,0.12872530045360284,0.021746070138702632,2279394364.0
MLPRegressor,mean,6,Centro,0.2041343339193692,0.05606919049574386,2569240065.0
MLPRegressor,mean,6,Chihuahua,0.11404703637202282,0.021776159034646546,2417395368.0
MLPRegressor,mean,6,Cuauhtémoc,0.17504584865992912,0.0458515108790883,2592325488.0
MLPRegressor,mean,6,Culiacán,0.20181025664372454,0.05280057966816239,2301507417.0
MLPRegressor,mean,6,Ecatepec de Morelos,0.1968099088324609,0.049384053025768745,2058140303.0
MLPRegressor,mean,6,Guadalajara,0.17655110635195834,0.04576523249504633,2321595784.0
MLPRegressor,mean,6,Irapuato,0.14599102369860295,0.03827223995440337,1965961724.0
MLPRegressor,mean,6,Iztapalapa,0.18808863746062934,0.05945336294248736,1583446477.0
MLPRegressor,mean,6,Juárez,0.17201031920514784,0.05087754255490752,1973501181.0
MLPRegressor,mean,6,León,0.11256555643809134,0.01704943876069845,2182604275.0
MLPRegressor,mean,6,Morelia,0.1810594997998823,0.04813020486452201,2293731285.0
MLPRegressor,mean,6,Reynosa,0.15517098141780045,0.03184656399005874,1800963626.0
MLPRegressor,mean,6,Tijuana,0.11933666526050093,0.02225289714141453,2522814070.0
MLPRegressor,mean,7,Acapulco de Juárez,0.17355015026315548,0.048212315803778744,2609698710.0
MLPRegressor,mean,7,Benito Juárez,0.11131576302656528,0.016492610128394734,2716926164.0
MLPRegressor,mean,7,Centro,0.20201897059136611,0.05968330313736503,2516690634.0
MLPRegressor,mean,7,Chihuahua,0.13036849175183984,0.023357000926434626,2571943686.0
MLPRegressor,mean,7,Cuauhtémoc,0.21333734959458395,0.06745697595550258,2440428062.0
MLPRegressor,mean,7,Culiacán,0.2298617047189442,0.06748738982525787,2561867218.0
MLPRegressor,mean,7,Ecatepec de Morelos,0.10458738095079242,0.01674277016614884,2490923640.0
MLPRegressor,mean,7,Guadalajara,0.2690325390519063,0.09020420187664842,1674841601.0
MLPRegressor,mean,7,Irapuato,0.1281278450400346,0.02343250432342497,2447020116.0
MLPRegressor,mean,7,Iztapalapa,0.15722284947642476,0.0466872761062081,2532130240.0
MLPRegressor,mean,7,Juárez,0.14818114558150003,0.03283038861839306,1488884719.0
